datetime_beginning_utc,datetime_beginning_ept,area,solar_generation_mw
1/1/2019 5:00:00 AM,1/1/2019 12:00:00 AM,RTO,-1.773
1/1/2019 6:00:00 AM,1/1/2019 1:00:00 AM,RTO,-1.816
1/1/2019 7:00:00 AM,1/1/2019 2:00:00 AM,RTO,-1.760
1/1/2019 8:00:00 AM,1/1/2019 3:00:00 AM,RTO,-1.801
1/1/2019 9:00:00 AM,1/1/2019 4:00:00 AM,RTO,-1.797
1/1/2019 10:00:00 AM,1/1/2019 5:00:00 AM,RTO,-1.809
1/1/2019 11:00:00 AM,1/1/2019 6:00:00 AM,RTO,-1.735
1/1/2019 12:00:00 PM,1/1/2019 7:00:00 AM,RTO,7.031
1/1/2019 1:00:00 PM,1/1/2019 8:00:00 AM,RTO,84.331
1/1/2019 2:00:00 PM,1/1/2019 9:00:00 AM,RTO,195.776
1/1/2019 3:00:00 PM,1/1/2019 10:00:00 AM,RTO,319.026
1/1/2019 4:00:00 PM,1/1/2019 11:00:00 AM,RTO,414.725
1/1/2019 5:00:00 PM,1/1/2019 12:00:00 PM,RTO,454.587
1/1/2019 6:00:00 PM,1/1/2019 1:00:00 PM,RTO,428.887
1/1/2019 7:00:00 PM,1/1/2019 2:00:00 PM,RTO,256.443
1/1/2019 8:00:00 PM,1/1/2019 3:00:00 PM,RTO,133.333
1/1/2019 9:00:00 PM,1/1/2019 4:00:00 PM,RTO,28.252
1/1/2019 10:00:00 PM,1/1/2019 5:00:00 PM,RTO,0.772
1/1/2019 11:00:00 PM,1/1/2019 6:00:00 PM,RTO,0.609
1/2/2019 12:00:00 AM,1/1/2019 7:00:00 PM,RTO,0.637
1/2/2019 1:00:00 AM,1/1/2019 8:00:00 PM,RTO,0.586
1/2/2019 2:00:00 AM,1/1/2019 9:00:00 PM,RTO,0.684
1/2/2019 3:00:00 AM,1/1/2019 10:00:00 PM,RTO,0.684
1/2/2019 4:00:00 AM,1/1/2019 11:00:00 PM,RTO,0.614
1/2/2019 5:00:00 AM,1/2/2019 12:00:00 AM,RTO,0.735
1/2/2019 6:00:00 AM,1/2/2019 1:00:00 AM,RTO,0.638
1/2/2019 7:00:00 AM,1/2/2019 2:00:00 AM,RTO,0.692
1/2/2019 8:00:00 AM,1/2/2019 3:00:00 AM,RTO,0.703
1/2/2019 9:00:00 AM,1/2/2019 4:00:00 AM,RTO,0.502
1/2/2019 10:00:00 AM,1/2/2019 5:00:00 AM,RTO,0.648
1/2/2019 11:00:00 AM,1/2/2019 6:00:00 AM,RTO,0.682
1/2/2019 12:00:00 PM,1/2/2019 7:00:00 AM,RTO,9.471
1/2/2019 1:00:00 PM,1/2/2019 8:00:00 AM,RTO,98.590
1/2/2019 2:00:00 PM,1/2/2019 9:00:00 AM,RTO,190.143
1/2/2019 3:00:00 PM,1/2/2019 10:00:00 AM,RTO,305.971
1/2/2019 4:00:00 PM,1/2/2019 11:00:00 AM,RTO,401.521
1/2/2019 5:00:00 PM,1/2/2019 12:00:00 PM,RTO,369.376
1/2/2019 6:00:00 PM,1/2/2019 1:00:00 PM,RTO,311.575
1/2/2019 7:00:00 PM,1/2/2019 2:00:00 PM,RTO,216.678
1/2/2019 8:00:00 PM,1/2/2019 3:00:00 PM,RTO,120.704
1/2/2019 9:00:00 PM,1/2/2019 4:00:00 PM,RTO,15.557
1/2/2019 10:00:00 PM,1/2/2019 5:00:00 PM,RTO,-1.785
1/2/2019 11:00:00 PM,1/2/2019 6:00:00 PM,RTO,-1.752
1/3/2019 12:00:00 AM,1/2/2019 7:00:00 PM,RTO,-1.749
1/3/2019 1:00:00 AM,1/2/2019 8:00:00 PM,RTO,-1.773
1/3/2019 2:00:00 AM,1/2/2019 9:00:00 PM,RTO,-1.745
1/3/2019 3:00:00 AM,1/2/2019 10:00:00 PM,RTO,-1.952
1/3/2019 4:00:00 AM,1/2/2019 11:00:00 PM,RTO,-1.754
1/3/2019 5:00:00 AM,1/3/2019 12:00:00 AM,RTO,-1.788
1/3/2019 6:00:00 AM,1/3/2019 1:00:00 AM,RTO,-1.760
1/3/2019 7:00:00 AM,1/3/2019 2:00:00 AM,RTO,-1.782
1/3/2019 8:00:00 AM,1/3/2019 3:00:00 AM,RTO,-1.840
1/3/2019 9:00:00 AM,1/3/2019 4:00:00 AM,RTO,-1.647
1/3/2019 10:00:00 AM,1/3/2019 5:00:00 AM,RTO,-1.922
1/3/2019 11:00:00 AM,1/3/2019 6:00:00 AM,RTO,-1.735
1/3/2019 12:00:00 PM,1/3/2019 7:00:00 AM,RTO,1.720
1/3/2019 1:00:00 PM,1/3/2019 8:00:00 AM,RTO,48.131
1/3/2019 2:00:00 PM,1/3/2019 9:00:00 AM,RTO,122.935
1/3/2019 3:00:00 PM,1/3/2019 10:00:00 AM,RTO,187.811
1/3/2019 4:00:00 PM,1/3/2019 11:00:00 AM,RTO,264.349
1/3/2019 5:00:00 PM,1/3/2019 12:00:00 PM,RTO,292.663
1/3/2019 6:00:00 PM,1/3/2019 1:00:00 PM,RTO,249.089
1/3/2019 7:00:00 PM,1/3/2019 2:00:00 PM,RTO,193.197
1/3/2019 8:00:00 PM,1/3/2019 3:00:00 PM,RTO,112.937
1/3/2019 9:00:00 PM,1/3/2019 4:00:00 PM,RTO,22.345
1/3/2019 10:00:00 PM,1/3/2019 5:00:00 PM,RTO,-1.836
1/3/2019 11:00:00 PM,1/3/2019 6:00:00 PM,RTO,-1.738
1/4/2019 12:00:00 AM,1/3/2019 7:00:00 PM,RTO,-1.743
1/4/2019 1:00:00 AM,1/3/2019 8:00:00 PM,RTO,-1.758
1/4/2019 2:00:00 AM,1/3/2019 9:00:00 PM,RTO,-1.804
1/4/2019 3:00:00 AM,1/3/2019 10:00:00 PM,RTO,-1.847
1/4/2019 4:00:00 AM,1/3/2019 11:00:00 PM,RTO,-1.802
1/4/2019 5:00:00 AM,1/4/2019 12:00:00 AM,RTO,-1.892
1/4/2019 6:00:00 AM,1/4/2019 1:00:00 AM,RTO,-1.906
1/4/2019 7:00:00 AM,1/4/2019 2:00:00 AM,RTO,-1.841
1/4/2019 8:00:00 AM,1/4/2019 3:00:00 AM,RTO,-1.916
1/4/2019 9:00:00 AM,1/4/2019 4:00:00 AM,RTO,-1.998
1/4/2019 10:00:00 AM,1/4/2019 5:00:00 AM,RTO,-2.008
1/4/2019 11:00:00 AM,1/4/2019 6:00:00 AM,RTO,-1.911
1/4/2019 12:00:00 PM,1/4/2019 7:00:00 AM,RTO,6.074
1/4/2019 1:00:00 PM,1/4/2019 8:00:00 AM,RTO,84.813
1/4/2019 2:00:00 PM,1/4/2019 9:00:00 AM,RTO,203.515
1/4/2019 3:00:00 PM,1/4/2019 10:00:00 AM,RTO,311.235
1/4/2019 4:00:00 PM,1/4/2019 11:00:00 AM,RTO,348.444
1/4/2019 5:00:00 PM,1/4/2019 12:00:00 PM,RTO,301.687
1/4/2019 6:00:00 PM,1/4/2019 1:00:00 PM,RTO,203.614
1/4/2019 7:00:00 PM,1/4/2019 2:00:00 PM,RTO,117.001
1/4/2019 8:00:00 PM,1/4/2019 3:00:00 PM,RTO,50.472
1/4/2019 9:00:00 PM,1/4/2019 4:00:00 PM,RTO,5.997
1/4/2019 10:00:00 PM,1/4/2019 5:00:00 PM,RTO,-1.799
1/4/2019 11:00:00 PM,1/4/2019 6:00:00 PM,RTO,-1.767
1/5/2019 12:00:00 AM,1/4/2019 7:00:00 PM,RTO,-1.883
1/5/2019 1:00:00 AM,1/4/2019 8:00:00 PM,RTO,-1.892
1/5/2019 2:00:00 AM,1/4/2019 9:00:00 PM,RTO,-1.731
1/5/2019 3:00:00 AM,1/4/2019 10:00:00 PM,RTO,-1.970
1/5/2019 4:00:00 AM,1/4/2019 11:00:00 PM,RTO,-1.820
1/5/2019 5:00:00 AM,1/5/2019 12:00:00 AM,RTO,-1.827
1/5/2019 6:00:00 AM,1/5/2019 1:00:00 AM,RTO,-1.749
1/5/2019 7:00:00 AM,1/5/2019 2:00:00 AM,RTO,-1.863
1/5/2019 8:00:00 AM,1/5/2019 3:00:00 AM,RTO,-1.946
1/5/2019 9:00:00 AM,1/5/2019 4:00:00 AM,RTO,-1.799
1/5/2019 10:00:00 AM,1/5/2019 5:00:00 AM,RTO,-1.859
1/5/2019 11:00:00 AM,1/5/2019 6:00:00 AM,RTO,-1.850
1/5/2019 12:00:00 PM,1/5/2019 7:00:00 AM,RTO,8.747
1/5/2019 1:00:00 PM,1/5/2019 8:00:00 AM,RTO,191.797
1/5/2019 2:00:00 PM,1/5/2019 9:00:00 AM,RTO,357.313
1/5/2019 3:00:00 PM,1/5/2019 10:00:00 AM,RTO,422.117
1/5/2019 4:00:00 PM,1/5/2019 11:00:00 AM,RTO,411.554
1/5/2019 5:00:00 PM,1/5/2019 12:00:00 PM,RTO,396.120
1/5/2019 6:00:00 PM,1/5/2019 1:00:00 PM,RTO,460.805
1/5/2019 7:00:00 PM,1/5/2019 2:00:00 PM,RTO,518.908
1/5/2019 8:00:00 PM,1/5/2019 3:00:00 PM,RTO,372.060
1/5/2019 9:00:00 PM,1/5/2019 4:00:00 PM,RTO,91.864
1/5/2019 10:00:00 PM,1/5/2019 5:00:00 PM,RTO,-1.886
1/5/2019 11:00:00 PM,1/5/2019 6:00:00 PM,RTO,-1.865
1/6/2019 12:00:00 AM,1/5/2019 7:00:00 PM,RTO,-1.919
1/6/2019 1:00:00 AM,1/5/2019 8:00:00 PM,RTO,-1.880
1/6/2019 2:00:00 AM,1/5/2019 9:00:00 PM,RTO,-1.840
1/6/2019 3:00:00 AM,1/5/2019 10:00:00 PM,RTO,-1.883
1/6/2019 4:00:00 AM,1/5/2019 11:00:00 PM,RTO,-1.836
1/6/2019 5:00:00 AM,1/6/2019 12:00:00 AM,RTO,-1.995
1/6/2019 6:00:00 AM,1/6/2019 1:00:00 AM,RTO,-1.823
1/6/2019 7:00:00 AM,1/6/2019 2:00:00 AM,RTO,-1.857
1/6/2019 8:00:00 AM,1/6/2019 3:00:00 AM,RTO,-1.972
1/6/2019 9:00:00 AM,1/6/2019 4:00:00 AM,RTO,-1.867
1/6/2019 10:00:00 AM,1/6/2019 5:00:00 AM,RTO,-1.969
1/6/2019 11:00:00 AM,1/6/2019 6:00:00 AM,RTO,-1.774
1/6/2019 12:00:00 PM,1/6/2019 7:00:00 AM,RTO,16.483
1/6/2019 1:00:00 PM,1/6/2019 8:00:00 AM,RTO,308.460
1/6/2019 2:00:00 PM,1/6/2019 9:00:00 AM,RTO,606.826
1/6/2019 3:00:00 PM,1/6/2019 10:00:00 AM,RTO,699.478
1/6/2019 4:00:00 PM,1/6/2019 11:00:00 AM,RTO,803.696
1/6/2019 5:00:00 PM,1/6/2019 12:00:00 PM,RTO,813.606
1/6/2019 6:00:00 PM,1/6/2019 1:00:00 PM,RTO,752.064
1/6/2019 7:00:00 PM,1/6/2019 2:00:00 PM,RTO,608.091
1/6/2019 8:00:00 PM,1/6/2019 3:00:00 PM,RTO,393.011
1/6/2019 9:00:00 PM,1/6/2019 4:00:00 PM,RTO,111.442
1/6/2019 10:00:00 PM,1/6/2019 5:00:00 PM,RTO,-1.583
1/6/2019 11:00:00 PM,1/6/2019 6:00:00 PM,RTO,-1.926
1/7/2019 12:00:00 AM,1/6/2019 7:00:00 PM,RTO,-1.924
1/7/2019 1:00:00 AM,1/6/2019 8:00:00 PM,RTO,-1.975
1/7/2019 2:00:00 AM,1/6/2019 9:00:00 PM,RTO,-1.735
1/7/2019 3:00:00 AM,1/6/2019 10:00:00 PM,RTO,-1.926
1/7/2019 4:00:00 AM,1/6/2019 11:00:00 PM,RTO,-1.898
1/7/2019 5:00:00 AM,1/7/2019 12:00:00 AM,RTO,-1.777
1/7/2019 6:00:00 AM,1/7/2019 1:00:00 AM,RTO,-1.813
1/7/2019 7:00:00 AM,1/7/2019 2:00:00 AM,RTO,-1.839
1/7/2019 8:00:00 AM,1/7/2019 3:00:00 AM,RTO,-1.726
1/7/2019 9:00:00 AM,1/7/2019 4:00:00 AM,RTO,-1.850
1/7/2019 10:00:00 AM,1/7/2019 5:00:00 AM,RTO,-2.013
1/7/2019 11:00:00 AM,1/7/2019 6:00:00 AM,RTO,-1.807
1/7/2019 12:00:00 PM,1/7/2019 7:00:00 AM,RTO,24.064
1/7/2019 1:00:00 PM,1/7/2019 8:00:00 AM,RTO,229.631
1/7/2019 2:00:00 PM,1/7/2019 9:00:00 AM,RTO,462.007
1/7/2019 3:00:00 PM,1/7/2019 10:00:00 AM,RTO,590.161
1/7/2019 4:00:00 PM,1/7/2019 11:00:00 AM,RTO,651.638
1/7/2019 5:00:00 PM,1/7/2019 12:00:00 PM,RTO,566.497
1/7/2019 6:00:00 PM,1/7/2019 1:00:00 PM,RTO,464.527
1/7/2019 7:00:00 PM,1/7/2019 2:00:00 PM,RTO,383.616
1/7/2019 8:00:00 PM,1/7/2019 3:00:00 PM,RTO,223.911
1/7/2019 9:00:00 PM,1/7/2019 4:00:00 PM,RTO,40.927
1/7/2019 10:00:00 PM,1/7/2019 5:00:00 PM,RTO,-1.856
1/7/2019 11:00:00 PM,1/7/2019 6:00:00 PM,RTO,-1.781
1/8/2019 12:00:00 AM,1/7/2019 7:00:00 PM,RTO,-1.818
1/8/2019 1:00:00 AM,1/7/2019 8:00:00 PM,RTO,-1.830
1/8/2019 2:00:00 AM,1/7/2019 9:00:00 PM,RTO,-1.881
1/8/2019 3:00:00 AM,1/7/2019 10:00:00 PM,RTO,-1.884
1/8/2019 4:00:00 AM,1/7/2019 11:00:00 PM,RTO,-1.815
1/8/2019 5:00:00 AM,1/8/2019 12:00:00 AM,RTO,-1.876
1/8/2019 6:00:00 AM,1/8/2019 1:00:00 AM,RTO,-1.890
1/8/2019 7:00:00 AM,1/8/2019 2:00:00 AM,RTO,-1.993
1/8/2019 8:00:00 AM,1/8/2019 3:00:00 AM,RTO,-1.836
1/8/2019 9:00:00 AM,1/8/2019 4:00:00 AM,RTO,-2.053
1/8/2019 10:00:00 AM,1/8/2019 5:00:00 AM,RTO,-1.920
1/8/2019 11:00:00 AM,1/8/2019 6:00:00 AM,RTO,-1.885
1/8/2019 12:00:00 PM,1/8/2019 7:00:00 AM,RTO,4.580
1/8/2019 1:00:00 PM,1/8/2019 8:00:00 AM,RTO,81.083
1/8/2019 2:00:00 PM,1/8/2019 9:00:00 AM,RTO,170.347
1/8/2019 3:00:00 PM,1/8/2019 10:00:00 AM,RTO,318.037
1/8/2019 4:00:00 PM,1/8/2019 11:00:00 AM,RTO,508.135
1/8/2019 5:00:00 PM,1/8/2019 12:00:00 PM,RTO,563.633
1/8/2019 6:00:00 PM,1/8/2019 1:00:00 PM,RTO,541.548
1/8/2019 7:00:00 PM,1/8/2019 2:00:00 PM,RTO,461.049
1/8/2019 8:00:00 PM,1/8/2019 3:00:00 PM,RTO,323.496
1/8/2019 9:00:00 PM,1/8/2019 4:00:00 PM,RTO,90.197
1/8/2019 10:00:00 PM,1/8/2019 5:00:00 PM,RTO,-1.720
1/8/2019 11:00:00 PM,1/8/2019 6:00:00 PM,RTO,-1.943
1/9/2019 12:00:00 AM,1/8/2019 7:00:00 PM,RTO,-1.994
1/9/2019 1:00:00 AM,1/8/2019 8:00:00 PM,RTO,-1.866
1/9/2019 2:00:00 AM,1/8/2019 9:00:00 PM,RTO,-1.936
1/9/2019 3:00:00 AM,1/8/2019 10:00:00 PM,RTO,-1.783
1/9/2019 4:00:00 AM,1/8/2019 11:00:00 PM,RTO,-1.797
1/9/2019 5:00:00 AM,1/9/2019 12:00:00 AM,RTO,-1.816
1/9/2019 6:00:00 AM,1/9/2019 1:00:00 AM,RTO,-1.927
1/9/2019 7:00:00 AM,1/9/2019 2:00:00 AM,RTO,-1.818
1/9/2019 8:00:00 AM,1/9/2019 3:00:00 AM,RTO,-1.901
1/9/2019 9:00:00 AM,1/9/2019 4:00:00 AM,RTO,-1.853
1/9/2019 10:00:00 AM,1/9/2019 5:00:00 AM,RTO,-1.868
1/9/2019 11:00:00 AM,1/9/2019 6:00:00 AM,RTO,-1.791
1/9/2019 12:00:00 PM,1/9/2019 7:00:00 AM,RTO,19.190
1/9/2019 1:00:00 PM,1/9/2019 8:00:00 AM,RTO,336.047
1/9/2019 2:00:00 PM,1/9/2019 9:00:00 AM,RTO,733.848
1/9/2019 3:00:00 PM,1/9/2019 10:00:00 AM,RTO,805.375
1/9/2019 4:00:00 PM,1/9/2019 11:00:00 AM,RTO,805.685
1/9/2019 5:00:00 PM,1/9/2019 12:00:00 PM,RTO,709.663
1/9/2019 6:00:00 PM,1/9/2019 1:00:00 PM,RTO,587.967
1/9/2019 7:00:00 PM,1/9/2019 2:00:00 PM,RTO,469.991
1/9/2019 8:00:00 PM,1/9/2019 3:00:00 PM,RTO,322.852
1/9/2019 9:00:00 PM,1/9/2019 4:00:00 PM,RTO,87.700
1/9/2019 10:00:00 PM,1/9/2019 5:00:00 PM,RTO,5.134
1/9/2019 11:00:00 PM,1/9/2019 6:00:00 PM,RTO,4.410
1/10/2019 12:00:00 AM,1/9/2019 7:00:00 PM,RTO,4.568
1/10/2019 1:00:00 AM,1/9/2019 8:00:00 PM,RTO,1.262
1/10/2019 2:00:00 AM,1/9/2019 9:00:00 PM,RTO,1.059
1/10/2019 3:00:00 AM,1/9/2019 10:00:00 PM,RTO,1.152
1/10/2019 4:00:00 AM,1/9/2019 11:00:00 PM,RTO,1.115
1/10/2019 5:00:00 AM,1/10/2019 12:00:00 AM,RTO,-1.734
1/10/2019 6:00:00 AM,1/10/2019 1:00:00 AM,RTO,-1.886
1/10/2019 7:00:00 AM,1/10/2019 2:00:00 AM,RTO,-1.775
1/10/2019 8:00:00 AM,1/10/2019 3:00:00 AM,RTO,-1.955
1/10/2019 9:00:00 AM,1/10/2019 4:00:00 AM,RTO,-2.043
1/10/2019 10:00:00 AM,1/10/2019 5:00:00 AM,RTO,4.451
1/10/2019 11:00:00 AM,1/10/2019 6:00:00 AM,RTO,4.436
1/10/2019 12:00:00 PM,1/10/2019 7:00:00 AM,RTO,28.389
1/10/2019 1:00:00 PM,1/10/2019 8:00:00 AM,RTO,368.402
1/10/2019 2:00:00 PM,1/10/2019 9:00:00 AM,RTO,773.662
1/10/2019 3:00:00 PM,1/10/2019 10:00:00 AM,RTO,831.252
1/10/2019 4:00:00 PM,1/10/2019 11:00:00 AM,RTO,803.931
1/10/2019 5:00:00 PM,1/10/2019 12:00:00 PM,RTO,790.361
1/10/2019 6:00:00 PM,1/10/2019 1:00:00 PM,RTO,800.106
1/10/2019 7:00:00 PM,1/10/2019 2:00:00 PM,RTO,799.290
1/10/2019 8:00:00 PM,1/10/2019 3:00:00 PM,RTO,582.706
1/10/2019 9:00:00 PM,1/10/2019 4:00:00 PM,RTO,147.676
1/10/2019 10:00:00 PM,1/10/2019 5:00:00 PM,RTO,4.756
1/10/2019 11:00:00 PM,1/10/2019 6:00:00 PM,RTO,4.618
1/11/2019 12:00:00 AM,1/10/2019 7:00:00 PM,RTO,4.454
1/11/2019 1:00:00 AM,1/10/2019 8:00:00 PM,RTO,-1.861
1/11/2019 2:00:00 AM,1/10/2019 9:00:00 PM,RTO,-1.812
1/11/2019 3:00:00 AM,1/10/2019 10:00:00 PM,RTO,-1.847
1/11/2019 4:00:00 AM,1/10/2019 11:00:00 PM,RTO,-1.844
1/11/2019 5:00:00 AM,1/11/2019 12:00:00 AM,RTO,-1.795
1/11/2019 6:00:00 AM,1/11/2019 1:00:00 AM,RTO,-1.931
1/11/2019 7:00:00 AM,1/11/2019 2:00:00 AM,RTO,-1.851
1/11/2019 8:00:00 AM,1/11/2019 3:00:00 AM,RTO,-2.001
1/11/2019 9:00:00 AM,1/11/2019 4:00:00 AM,RTO,-2.010
1/11/2019 10:00:00 AM,1/11/2019 5:00:00 AM,RTO,4.437
1/11/2019 11:00:00 AM,1/11/2019 6:00:00 AM,RTO,4.536
1/11/2019 12:00:00 PM,1/11/2019 7:00:00 AM,RTO,34.593
1/11/2019 1:00:00 PM,1/11/2019 8:00:00 AM,RTO,403.450
1/11/2019 2:00:00 PM,1/11/2019 9:00:00 AM,RTO,859.609
1/11/2019 3:00:00 PM,1/11/2019 10:00:00 AM,RTO,992.416
1/11/2019 4:00:00 PM,1/11/2019 11:00:00 AM,RTO,1000.885
1/11/2019 5:00:00 PM,1/11/2019 12:00:00 PM,RTO,992.384
1/11/2019 6:00:00 PM,1/11/2019 1:00:00 PM,RTO,968.908
1/11/2019 7:00:00 PM,1/11/2019 2:00:00 PM,RTO,876.068
1/11/2019 8:00:00 PM,1/11/2019 3:00:00 PM,RTO,603.775
1/11/2019 9:00:00 PM,1/11/2019 4:00:00 PM,RTO,148.804
1/11/2019 10:00:00 PM,1/11/2019 5:00:00 PM,RTO,-0.096
1/11/2019 11:00:00 PM,1/11/2019 6:00:00 PM,RTO,-1.872
1/12/2019 12:00:00 AM,1/11/2019 7:00:00 PM,RTO,-1.888
1/12/2019 1:00:00 AM,1/11/2019 8:00:00 PM,RTO,-1.970
1/12/2019 2:00:00 AM,1/11/2019 9:00:00 PM,RTO,-1.914
1/12/2019 3:00:00 AM,1/11/2019 10:00:00 PM,RTO,-1.873
1/12/2019 4:00:00 AM,1/11/2019 11:00:00 PM,RTO,-1.875
1/12/2019 5:00:00 AM,1/12/2019 12:00:00 AM,RTO,-1.909
1/12/2019 6:00:00 AM,1/12/2019 1:00:00 AM,RTO,-1.873
1/12/2019 7:00:00 AM,1/12/2019 2:00:00 AM,RTO,-1.910
1/12/2019 8:00:00 AM,1/12/2019 3:00:00 AM,RTO,-1.946
1/12/2019 9:00:00 AM,1/12/2019 4:00:00 AM,RTO,-2.094
1/12/2019 10:00:00 AM,1/12/2019 5:00:00 AM,RTO,-2.002
1/12/2019 11:00:00 AM,1/12/2019 6:00:00 AM,RTO,-1.915
1/12/2019 12:00:00 PM,1/12/2019 7:00:00 AM,RTO,9.569
1/12/2019 1:00:00 PM,1/12/2019 8:00:00 AM,RTO,122.373
1/12/2019 2:00:00 PM,1/12/2019 9:00:00 AM,RTO,280.525
1/12/2019 3:00:00 PM,1/12/2019 10:00:00 AM,RTO,389.289
1/12/2019 4:00:00 PM,1/12/2019 11:00:00 AM,RTO,472.423
1/12/2019 5:00:00 PM,1/12/2019 12:00:00 PM,RTO,480.820
1/12/2019 6:00:00 PM,1/12/2019 1:00:00 PM,RTO,382.246
1/12/2019 7:00:00 PM,1/12/2019 2:00:00 PM,RTO,234.378
1/12/2019 8:00:00 PM,1/12/2019 3:00:00 PM,RTO,108.867
1/12/2019 9:00:00 PM,1/12/2019 4:00:00 PM,RTO,21.554
1/12/2019 10:00:00 PM,1/12/2019 5:00:00 PM,RTO,-1.220
1/12/2019 11:00:00 PM,1/12/2019 6:00:00 PM,RTO,-1.878
1/13/2019 12:00:00 AM,1/12/2019 7:00:00 PM,RTO,-1.566
1/13/2019 1:00:00 AM,1/12/2019 8:00:00 PM,RTO,-1.826
1/13/2019 2:00:00 AM,1/12/2019 9:00:00 PM,RTO,-1.904
1/13/2019 3:00:00 AM,1/12/2019 10:00:00 PM,RTO,-1.917
1/13/2019 4:00:00 AM,1/12/2019 11:00:00 PM,RTO,-1.804
1/13/2019 5:00:00 AM,1/13/2019 12:00:00 AM,RTO,-1.883
1/13/2019 6:00:00 AM,1/13/2019 1:00:00 AM,RTO,-2.030
1/13/2019 7:00:00 AM,1/13/2019 2:00:00 AM,RTO,-1.941
1/13/2019 8:00:00 AM,1/13/2019 3:00:00 AM,RTO,-1.958
1/13/2019 9:00:00 AM,1/13/2019 4:00:00 AM,RTO,-2.018
1/13/2019 10:00:00 AM,1/13/2019 5:00:00 AM,RTO,-1.892
1/13/2019 11:00:00 AM,1/13/2019 6:00:00 AM,RTO,-2.114
1/13/2019 12:00:00 PM,1/13/2019 7:00:00 AM,RTO,-1.644
1/13/2019 1:00:00 PM,1/13/2019 8:00:00 AM,RTO,8.391
1/13/2019 2:00:00 PM,1/13/2019 9:00:00 AM,RTO,41.573
1/13/2019 3:00:00 PM,1/13/2019 10:00:00 AM,RTO,107.982
1/13/2019 4:00:00 PM,1/13/2019 11:00:00 AM,RTO,194.191
1/13/2019 5:00:00 PM,1/13/2019 12:00:00 PM,RTO,198.620
1/13/2019 6:00:00 PM,1/13/2019 1:00:00 PM,RTO,178.936
1/13/2019 7:00:00 PM,1/13/2019 2:00:00 PM,RTO,130.837
1/13/2019 8:00:00 PM,1/13/2019 3:00:00 PM,RTO,70.689
1/13/2019 9:00:00 PM,1/13/2019 4:00:00 PM,RTO,19.501
1/13/2019 10:00:00 PM,1/13/2019 5:00:00 PM,RTO,-1.392
1/13/2019 11:00:00 PM,1/13/2019 6:00:00 PM,RTO,-1.852
1/14/2019 12:00:00 AM,1/13/2019 7:00:00 PM,RTO,-1.831
1/14/2019 1:00:00 AM,1/13/2019 8:00:00 PM,RTO,-1.861
1/14/2019 2:00:00 AM,1/13/2019 9:00:00 PM,RTO,-1.932
1/14/2019 3:00:00 AM,1/13/2019 10:00:00 PM,RTO,-1.783
1/14/2019 4:00:00 AM,1/13/2019 11:00:00 PM,RTO,-1.853
1/14/2019 5:00:00 AM,1/14/2019 12:00:00 AM,RTO,-1.793
1/14/2019 6:00:00 AM,1/14/2019 1:00:00 AM,RTO,-1.725
1/14/2019 7:00:00 AM,1/14/2019 2:00:00 AM,RTO,-1.770
1/14/2019 8:00:00 AM,1/14/2019 3:00:00 AM,RTO,-1.932
1/14/2019 9:00:00 AM,1/14/2019 4:00:00 AM,RTO,-1.899
1/14/2019 10:00:00 AM,1/14/2019 5:00:00 AM,RTO,-1.989
1/14/2019 11:00:00 AM,1/14/2019 6:00:00 AM,RTO,-1.898
1/14/2019 12:00:00 PM,1/14/2019 7:00:00 AM,RTO,4.084
1/14/2019 1:00:00 PM,1/14/2019 8:00:00 AM,RTO,71.183
1/14/2019 2:00:00 PM,1/14/2019 9:00:00 AM,RTO,206.406
1/14/2019 3:00:00 PM,1/14/2019 10:00:00 AM,RTO,395.561
1/14/2019 4:00:00 PM,1/14/2019 11:00:00 AM,RTO,533.859
1/14/2019 5:00:00 PM,1/14/2019 12:00:00 PM,RTO,621.514
1/14/2019 6:00:00 PM,1/14/2019 1:00:00 PM,RTO,632.808
1/14/2019 7:00:00 PM,1/14/2019 2:00:00 PM,RTO,541.120
1/14/2019 8:00:00 PM,1/14/2019 3:00:00 PM,RTO,370.757
1/14/2019 9:00:00 PM,1/14/2019 4:00:00 PM,RTO,108.958
1/14/2019 10:00:00 PM,1/14/2019 5:00:00 PM,RTO,-0.174
1/14/2019 11:00:00 PM,1/14/2019 6:00:00 PM,RTO,-1.804
1/15/2019 12:00:00 AM,1/14/2019 7:00:00 PM,RTO,-1.896
1/15/2019 1:00:00 AM,1/14/2019 8:00:00 PM,RTO,-1.817
1/15/2019 2:00:00 AM,1/14/2019 9:00:00 PM,RTO,-1.949
1/15/2019 3:00:00 AM,1/14/2019 10:00:00 PM,RTO,-1.816
1/15/2019 4:00:00 AM,1/14/2019 11:00:00 PM,RTO,-1.857
1/15/2019 5:00:00 AM,1/15/2019 12:00:00 AM,RTO,-1.821
1/15/2019 6:00:00 AM,1/15/2019 1:00:00 AM,RTO,-1.749
1/15/2019 7:00:00 AM,1/15/2019 2:00:00 AM,RTO,-1.864
1/15/2019 8:00:00 AM,1/15/2019 3:00:00 AM,RTO,-1.960
1/15/2019 9:00:00 AM,1/15/2019 4:00:00 AM,RTO,-2.051
1/15/2019 10:00:00 AM,1/15/2019 5:00:00 AM,RTO,-1.894
1/15/2019 11:00:00 AM,1/15/2019 6:00:00 AM,RTO,-2.016
1/15/2019 12:00:00 PM,1/15/2019 7:00:00 AM,RTO,11.082
